Name,X,Y
AT,4334.3065,2323.655
BE,3623.0305,2691.38025
CH,3873.2895,2259.69725
DE_LU,3955.291,2709.533
ES,2959.40475,1673.361875
FR,3428.9355,2285.83075
GB,3254.03,2977.0465
IE_SEM,2864.7115,3031.66275
IT_CALA,4536.771,1364.937
IT_CNOR,4186.61,1890.48325
IT_CSUD,4351.8325,1681.226125
IT_NORD,4034.71075,2094.773875
IT_SARD,3922.003,1518.59025
IT_SICI,4383.6305,1251.492125
IT_SUD,4528.2365,1555.109875
NL,3704.907,2827.39675
PT,2476.324,1577.071
NO_1,4033.269,3711.085
NO_2,3874.264,3548.323
NO_3,3974.159,4014.421
NO_4,4374.921,4720.663
NO_5,3811.274,3730.123
SE_1,4438.705,4422.707
SE_2,4258.663,4071.971
SE_3,4294.434,3642.775
SE_4,4230.65,3250.791
DK_1,3961.936,3248.91
DK_2,4113.1095,3174.63175
FI,4829.499,4299.703
CZ,4392.148,2559.05025
EE,4884.927,3615.52775
HU,4687.7705,2312.269
LT,4851.755,3233.62275
LV,4891.157,3444.48075
PL,4616.6575,2879.63425
RO,5093.2635,2248.636
SK,4655.682,2494.7275
AL,4833.71,1669.748
BA,4625.376,1984.507
BG,5196.599,1910.413875
GR,5024.7805,1527.81
HR,4500.6125,2143.81075
ME,4724.0625,1848.75
MK,4948.262,1751.38025
RS,4836.3945,2001.036375
SI,4334.2125,2165.2105
